api_uid	returned_accession	normalized_accession	title	summary	organism	gds_type	n_samples	platform	pubmed_ids	entry_type	geo_url
200281854	GSE281854	GSE281854	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [liver RNA-Seq]	Activation of anaplerosis takes away glutamine from the biosynthetic pathway to the energy-producing TCA cycle. Especially, induction of hyperoxia driven anaplerosis in neurovascular tissues such as the retina during early stages of development could deplete biosynthetic precursors from newly proliferating endothelial cells impeding physiological angiogenesis and leading to vasoobliteration. Using an oxygen-induced retinopathy (OIR) mouse model, we investigated the metabolic differences between OIR-resistant BALB/cByJ and OIR susceptible C57BL/6J strains at system levels to understand the molecular underpinnings that potentially contribute to hyperoxia-induced vascular abnormalities in the neural retina. Our systems level in vivo RNA-seq, proteomic, and lipidomic profiling and ex-vivo explant studies show that the medium-chain fatty acids serves as an alternative source to feed the TCA cycle. Our findings strongly implicate that medium-chain fatty acids could suppress glutamine-fueled anaplerosis and ameliorate hyperoxia-induced vascular abnormalities in conditions such as retinopathy of prematurity.	Mus musculus	Expression profiling by high throughput sequencing	15	24247	39789310	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281854
200281855	GSE281855	GSE281855	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [retina_RNAseq]	Activation of anaplerosis takes away glutamine from the biosynthetic pathway to the energy-producing TCA cycle. Especially, induction of hyperoxia driven anaplerosis in neurovascular tissues such as the retina during early stages of development could deplete biosynthetic precursors from newly proliferating endothelial cells impeding physiological angiogenesis and leading to vasoobliteration. Using an oxygen-induced retinopathy (OIR) mouse model, we investigated the metabolic differences between OIR-resistant BALB/cByJ and OIR susceptible C57BL/6J strains at system levels to understand the molecular underpinnings that potentially contribute to hyperoxia-induced vascular abnormalities in the neural retina. Our systems level in vivo RNA-seq, proteomic, and lipidomic profiling and ex-vivo explant studies show that the medium-chain fatty acids serves as an alternative source to feed the TCA cycle. Our findings strongly implicate that medium-chain fatty acids could suppress glutamine-fueled anaplerosis and ameliorate hyperoxia-induced vascular abnormalities in conditions such as retinopathy of prematurity.	Mus musculus	Expression profiling by high throughput sequencing	16	24247	39789310	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281855
200283276	GSE283276	GSE283276	Single-Cell Multiomics Profiling Reveals Heterogeneity of Müller Cells in the Oxygen-Induced Retinopathy Model	Retinal neovascularization poses heightened risks of vision loss and blindness. Despite its clinical significance, the molecular mechanisms underlying the pathogenesis of retinal neovascularization remain elusive. This study utilized single-cell multiomics profiling in an oxygen-induced retinopathy (OIR) model to comprehensively investigate the intricate molecular landscape of retinal neovascularization.	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2	24247	39504047	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283276
200288833	GSE288833	GSE288833	Deletion of endothelial glycocalyx component endomucin impairs retinal vascularization and suppresses pathological neovascularization	Endomucin (EMCN), an endothelial-selective glycocalyx component highly expressed in capillaries and venous endothelium, plays a critical role in regulating vascular endothelial growth factor receptor 2 (VEGFR2) endocytosis and downstream of VEGF signaling. Using a global EMCN knockout mouse model, we investigated the effects of EMCN deficiency on retinal vascularization during development and pathological angiogenesis. While Emcn-/- mice showed no significant difference in the avascular area in an oxygen-induced retinopathy (OIR) model, there was a significant reduction in neovascular tufts at postnatal day 17. RNA seq of the OIR retinas with gene ontology enrichment analysis indicate response to hypoxia and angiogenesis pathways were differentially regulated in Emcn-/- mice in OIR.	Mus musculus	Expression profiling by high throughput sequencing	6	34290		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288833
200289223	GSE289223	GSE289223	Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis	Purpose: To investigate the role of endothelial-mesenchymal transition (EndoMT) in pathological retinal angiogenesis and identify key molecular mediators in retina angiogenesis. Methods: RNA sequencing was performed on retinal tissue from oxygen-induced retinopathy (OIR) mouse model to analyze gene expression patterns. Gene Set Enrichment Analysis was used to examine the correlation between EMT and angiogenesis gene sets. Fibronectin (FN1) expression was evaluated in endothelial cells, and its function was assessed through siRNA mediated knockdown in both in vitro angiogenesis assays and the OIR model. Results: EndoMT occurred early in retinal angiogenesis development, with significant correlation between EMT and angiogenesis gene sets. FN1 was identified as the most significantly upregulated EMT-related gene in endothelial cells. siRNA-mediated inhibition of FN1 effectively prevented VEGF-induced angiogenesis in vitro and reduced pathological angiogenesis in the OIR model. Conclusions: EndoMT is a crucial early event in pathological retinal angiogenesis, with FN1 serving as a key mediator. Targeting FN1 may provide a novel therapeutic strategy that could synergize with anti-VEGF treatments to more effectively treat pathological angiogenesis in DR and ROP, particularly in cases of poor response to anti-VEGF therapy alone.	Mus musculus	Expression profiling by high throughput sequencing	6	24247	40042877	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289223
200292097	GSE292097	GSE292097	Targeting ATF6 Reduces Pathological Neovascularization and Improves Visual Outcomes in Retinal Disease Models	Pathological retinal neovascularization is a common mechanism for leading causes of vision loss including retinopathy of prematurity (ROP), diabetic retinopathy, and wet age-related macular degeneration. The Unfolded Protein Response (UPR) is an intracellular signal transduction mechanism controlled by the ER-resident proteins ATF6, IRE1, and PERK.  In response to endoplasmic reticulum stress, UPR activates downstream transcriptional and translational programs that upregulate many proteins, including key angiogenesis factors like VEGF and HIF1a.  This suggests an important role for UPR in developmental and pathologic retinal angiogenesis, but it is unclear which UPR regulatory genes are most important in these processes.  Here, we focused on the role of Activating Transcription Factor 6 (ATF6) in pathologic and developmental retinal angiogenesis. We induced pathologic retinal neovascularization in Atf6-/- mice using the oxygen-induced retinopathy (OIR) model of ROP and examined functional, histologic, and molecular consequences in the retina. we found significantly preserved visual function, accompanied by decreased retinal neovascularization, endothelial cell proliferation, and UPR and angiogenesis transcriptional programs in Atf6-/- mice after OIR. When we chemically blocked ATF6 signaling by intraocular injection of the small molecule Ceapin-A7, we also saw suppression of UPR and angiogenesis gene expression. Last, we examined very young Atf6-/- mice when the inner retinal vasculature is developing and found a significant defect in pruning and blood vessel extension to the periphery at P7, but this delay was transient and Atf6-/- blood vessels fully recovered at older ages of development. Together, our results demonstrate ATF6’s critical role in developmental and pathological angiogenesis and highlight its potential as a therapeutic target to mitigate pathological retinal neovascularization.	Mus musculus	Expression profiling by high throughput sequencing	20	28457	41006433	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292097
200301407	GSE301407	GSE301407	Injectable Multifunctional Hydrogel with Sustained Release of procyanidin C1 for Selective Senolysis to Remodel Ocular Fundus Neovascularization	The abnormal vascular growth in ocular fundus neovascularization is driven by senescent cells that evade apoptosis. These cells trigger chronic inflammation by overproducing senescence-associated secretory phenotype (SASP) factors. To address this, we developed PCC1/PHCF-Gel, a novel dual-mode hydrogel platform for long-term procyanidin C1 (PCC1) release. Its high-dose localized delivery targets p16INK4a+ senescent cells for ablation (senolysis), while low-dose sustained release inhibits SASP-mediated inflammation. To investigate the alterations in senescent features of oxygen-induced retinopathy (OIR) when treated with PCC1/PHCF-Gel, we carried out bulk RNA sequencing. Subsequently, utilizing senescence-related gene sets, namely SASP_Literature Curated UP, Fridman_Senescence_UP, and Global_Senescence_2020, we conducted a Set Gene Enrichment Analysis (GSEA). The analysis results served to reconfirm the accumulation of senescence in the OIR model. However, in the case of the PCC1/PHCF-Gel group, a significant negative correlation with senescence-related genes was observed.	Mus musculus	Expression profiling by high throughput sequencing	9	34290		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301407
200304959	GSE304959	GSE304959	RiboTag-based profiling of actively translating transcripts in Nrf2-deficient and wildtype Müller cells in a mouse model of oxygen-induced retinopathy	Müller cells play a critical role in retinal angiogenesis and inflammation, particularly in ischemic retinopathies such as oxygen-induced retinopathy (OIR).  Here, we employed actively translating transcriptome profiling using RiboTag technology to selectively examine gene expression in Müller cells with and without Nrf2, a master regulator of oxidative stress responses, during OIR. Conditional deletion of Nrf2 in Müller cells exacerbated retinal avascular areas and pathological neovascularization in the OIR model, without altering Müller cell number or viability. RiboTag-based RNA sequencing and pathway analysis identified dysregulation of oxidative phosphorylation and acute phase signaling, along with suppression of pathways related to neuronal signaling. Müller cell Nrf2 deficiency resulted in dysregulation of multiple genes involved in acute-phase response, inflammation, and angiogenesis. These findings uncover a critical role for Nrf2 in maintaining Müller cell homeostasis and identify molecular signatures by which its loss amplifies retinal gliosis and pathological angiogenesis.	Mus musculus	Expression profiling by high throughput sequencing	8	17021	40964715	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304959
200315511	GSE315511	GSE315511	Attenuation of oxygen-induced neovascularization and inflammation by neutralizing antibody to VEGFA and/or ANG-2	Neovascularization is a major cause of blindness in various retinal diseases, and inflammation aggravates the pathological and clinical conditions of these diseases. VEGFA or ANG-2 neutralizing antibodies have been used to block pathological neovascularization. In this work, the effects of intraocular administration of neutralizing antibodies against VEGFA, ANG-2, or bispecific to these two factors on pathological findings were examined in the oxygen-induced retinopathy (OIR) mouse model. At both postnatal day (P)17 and P19, anti-VEGFA and -ANG-2 administration suppressed neovascularization, and the bispecific antibody attenuated neovascularization more efficiently. However, oxygen-induced vaso-obliteration was not modified by these antibodies. Numbers of photoreceptor, amacrine, and bipolar cells were reduced in the OIR retina, and the antibodies reversed these changes. Microglia-specific gene expression increased in the OIR retina, and administration of the antibodies reduced the IBA1-positive area in the OIR retina, although these antibodies did not affect marker gene expression. Labeled VEGFA and ANG-2 were found to be co-localized with microglia, suggesting that VEGFA and ANG-2 affect microglia activation directly. Taken together, neutralizing antibody to VEGFA or ANG-2 attenuated oxygen-induced neovascularization and inflammation, and the bispecific antibody more efficiently suppressed some features than the single antibody to VEGFA or ANG-2.	Mus musculus	Expression profiling by high throughput sequencing	40	24247	41944819	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315511
200328096	GSE328096	GSE328096	Single-cell RNA sequencing reveals that Epac1 deletion attenuates Müller glial pathological activation in ischemia-induced retinopathy	Here we report the single-cell RNA sequencing (scRNA-seq) analysis of retinas from WT and Epac1-knockout mice under Oxygen-Induced Retinopathy (OIR) and Room Air (RA) conditions. The OIR model was induced by exposing pups to 70% oxygen from postnatal day 7 (P7) to P12. This study aims to delineate the cellular heterogeneity and investigate the neuroprotective mechanisms associated with Epac1 deletion, with a specific focus on Müller glial pathological activation and retinal neurodegeneration. Retinal tissues were collected at postnatal day 17 (P17) to establish a comprehensive transcriptomic profile of the ischemia-induced retinopathy model.	Mus musculus	Expression profiling by high throughput sequencing	4	19057	40976555	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328096
200038762	GSE38762	GSE38762	Gene Expression Profiling In Murine Retina Neovascularization Models	In order to find out the vital genes during retinal neovascularization (RNV), we set up OIR (oxygen-induced retinopathy; induced with 75%±2% oxygen) and wild-type C57BL/6J murine models. We observed the retinal vascular growth process daily both in OIR and wild-type mice through retinal flat-mount, and isolated total retinal RNA at different time points (P8, P9, P12, P13, P30) both in OIR and wild-type mice for gene expression analysis.	Mus musculus	Expression profiling by array	15	6845	23592914	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38762
200074170	GSE74170	GSE74170	Comparative Systems Pharmacology of HIF Stabilization in the Prevention of Retinopathy of Prematurity	Retinopathy of prematurity (ROP) is the most common cause of childhood blindness worldwide and is caused by oxygen therapy necessary to prevent mortality after premature birth. We have previously demonstrated the efficacy of systemic hypoxia inducible factor (HIF) stabilization through HIF prolyl hydroxylase inhibition (HIF PHi) in protecting retinal vasculature from oxygen toxicity in a mouse model of ROP or oxygen induced retinopathy (OIR). We definitively demonstrated that hepatic HIF-1 can be activated to confer this protection using systemic dimethyloxalylglycine (DMOG) to prevent HIF-1α degradation. In this study we compare Roxadustat, a small molecule stabilizer of HIF-1 currently in phase 3 clinical trials for increasing erythropoiesis in adult patients with chronic kidney disease, to DMOG. We demonstrate that Roxadustat induces vascular protection during hyperoxia to induce the coordinated sequential growth of retinal vasculature with a 3-fold reduction in oxygen induced capillary loss (p-=0.001). In order to define the molecular mechanism of protection, we further compared the transcriptome of both liver and retina after systemic treatment with Roxadustat or DMOG. Similar gene expression profiles were identified in liver but very different effects on transcription were found in retinal tissues because Roxadustat, in contrast to DMOG, directly targets retina, confirmed by western blot and by rescue of the hepatic HIF-1 KO, two criteria that DMOG treatment is unable to fulfill. Systems pharmacologic analysis demonstrates that Roxadustat induces typical HIF regulated genes critical to aerobic glycolysis in liver and retinal tissues whereas DMOG, acting through either secreted hepatokines or by influence of systemic DMOG, downregulates cell adhesion/extracellular matrix interaction pathways while increasing expression of histone cluster genes. Stratification of liver transcriptomes to secreted gene products again shows close consensus of hepatic genes induced by both small molecules, and includes upregulation of a plethora of angiogenic proteins such as plasminogen activator inhibitor (PAI-1), erythropoietin (EPO), and orosomucosoid 2 (ORM2). Secondary validation of these transcripts by serum ELISA confirms secretion of EPO and PAI-1 into blood from liver. These findings definitively demonstrate that HIF stabilization can prevent OIR by two pathways: direct retinal HIF stabilization and induction of aerobic glycolysis or indirect, hepatic HIF-1 stabilization and increased serum angiokines. Systems pharmacology analysis therefore explains why intermittent, low dosage of small molecule HIF stabilizers creates a profound protective phenotype, because both pathways can take advantage of cytoprotection induced by the liver and by retina synergistically. These data provide a rationale for considering low dose, intermittent systemic administration of Roxadustat, currently in phase 3 trials in adults with chronic kidney disease, to eradicate ROP in children.	Mus musculus	Expression profiling by high throughput sequencing	36	17021	27091985	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74170
200084303	GSE84303	GSE84303	Expressing profiles of small non-coding RNA in mouse models of oxygen-induced retinopathy (OIR)	Pathologic ocular angiogenesis is a common cause of blindness in proliferative retinopathy. Small non-coding RNAs (sncRNAs) play critical roles in normal development and diseases, and their function in eye diseases and angiogenesis are increasingly recognized. In the present study, we aimed to identify the function and therapeutic potential of sncRNAs in retinopathy. We used microarray to analyze the retinal expression profile of sncRNAs in a mouse oxygen-induced retinopathy (OIR) model that mimic human proliferative retinopathy.	Mus musculus; synthetic construct	Non-coding RNA profiling by array	6	14613	27653551	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84303
302231235	GSM2231235	GSM2231235	Retina_OIR_rep1	Retina from P17 OIR mouse pup	Mus musculus			14613		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2231235
302231236	GSM2231236	GSM2231236	Retina_OIR_rep2	Retina from P17 OIR mouse pup	Mus musculus			14613		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2231236
302231237	GSM2231237	GSM2231237	Retina_OIR_rep3	Retina from P17 OIR mouse pup	Mus musculus			14613		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2231237
303517545	GSM3517545	GSM3517545	MWMSmmKOHP1: Hyperoxia EMP2 KO #1	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517545
303517546	GSM3517546	GSM3517546	MWMSmmKOHP2: Hyperoxia EMP2 KO #2	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517546
303517547	GSM3517547	GSM3517547	MWMSmmKOHP3: Hyperoxia EMP2 KO #3	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517547
303517548	GSM3517548	GSM3517548	MWMSmmKOHP4: Hyperoxia EMP2 KO #4	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517548
303517549	GSM3517549	GSM3517549	MWMSmmKONM1: Normoxia EMP2 KO #1	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517549
303517550	GSM3517550	GSM3517550	MWMSmmKONM2: Normoxia EMP2 KO #2	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517550
303517551	GSM3517551	GSM3517551	MWMSmmKONM3: Normoxia EMP2 KO #3	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517551
303517552	GSM3517552	GSM3517552	MWMSmmKONM4: Normoxia EMP2 KO #4	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517552
303517553	GSM3517553	GSM3517553	MWMSmmWTHP1: Hyperoxia WT #1	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517553
303517554	GSM3517554	GSM3517554	MWMSmmWTHP2: Hyperoxia WT #2	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517554
303517555	GSM3517555	GSM3517555	MWMSmmWTHP3: Hyperoxia WT #3	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517555
303517556	GSM3517556	GSM3517556	MWMSmmWTHP4: Hyperoxia WT #4	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517556
303517557	GSM3517557	GSM3517557	MWMSmmWTNM1: Normoxia WT #1	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517557
303517558	GSM3517558	GSM3517558	MWMSmmWTNM2: Normoxia WT #2	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517558
303517559	GSM3517559	GSM3517559	MWMSmmWTNM3: Normoxia WT #3	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517559
303517560	GSM3517560	GSM3517560	MWMSmmWTNM4: Normoxia WT #4	Retina/coroid	Mus musculus			21493		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3517560
303560159	GSM3560159	GSM3560159	P14_retina_OIR_rep1	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560159
303560160	GSM3560160	GSM3560160	P14_retina_OIR_rep2	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560160
303560161	GSM3560161	GSM3560161	P14_retina_OIR_rep3	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560161
303560162	GSM3560162	GSM3560162	P14_retina_OIR+AFL_rep1	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560162
303560163	GSM3560163	GSM3560163	P14_retina_OIR+AFL_rep2	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560163
303560164	GSM3560164	GSM3560164	P14_retina_OIR+AFL_rep3	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560164
303560168	GSM3560168	GSM3560168	P17_retina_OIR_rep1	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560168
303560169	GSM3560169	GSM3560169	P17_retina_OIR_rep2	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560169
303560170	GSM3560170	GSM3560170	P17_retina_OIR_rep3	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560170
303560171	GSM3560171	GSM3560171	P17_retina_OIR+AFL_rep1	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13 and P15	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560171
303560172	GSM3560172	GSM3560172	P17_retina_OIR+AFL_rep2	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13 and P15	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560172
303560173	GSM3560173	GSM3560173	P17_retina_OIR+AFL_rep3	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13 and P15	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3560173
304085221	GSM4085221	GSM4085221	P19_retina_OIR_rep1	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085221
304085222	GSM4085222	GSM4085222	P19_retina_OIR_rep2	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085222
304085223	GSM4085223	GSM4085223	P19_retina_OIR_rep3	Retina, oxygen-induced retinopathy mouse	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085223
304085224	GSM4085224	GSM4085224	P19_retina_OIR+AFLx2_rep1	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13 and P15	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085224
304085225	GSM4085225	GSM4085225	P19_retina_OIR+AFLx2_rep2	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13 and P15	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085225
304085226	GSM4085226	GSM4085226	P19_retina_OIR+AFLx2_rep3	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13 and P15	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085226
304085227	GSM4085227	GSM4085227	P19_retina_OIR+AFLx3_rep1	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13, P15 and P17	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085227
304085228	GSM4085228	GSM4085228	P19_retina_OIR+AFLx3_rep2	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13, P15 and P17	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085228
304085229	GSM4085229	GSM4085229	P19_retina_OIR+AFLx3_rep3	Retina, oxygen-induced retinopathy mouse treated with 25 mg per kg body weight AFL on P13, P15 and P17	Mus musculus			21877		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4085229
304558803	GSM4558803	GSM4558803	P50_retina_OIR_rep1	P50_retina_OIR	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558803
304558804	GSM4558804	GSM4558804	P50_retina_OIR_rep2	P50_retina_OIR	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558804
304558805	GSM4558805	GSM4558805	P50_retina_OIR_rep3	P50_retina_OIR	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558805
304558806	GSM4558806	GSM4558806	P50_retina_OIR+AFLx2_rep1	P50_retina_OIR+AFLx2	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558806
304558807	GSM4558807	GSM4558807	P50_retina_OIR+AFLx2_rep2	P50_retina_OIR+AFLx2	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558807
304558808	GSM4558808	GSM4558808	P50_retina_OIR+AFLx2_rep3	P50_retina_OIR+AFLx2	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558808
304558809	GSM4558809	GSM4558809	P50_retina_OIR+AFLx3_rep1	P50_retina_OIR+AFLx3	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558809
304558810	GSM4558810	GSM4558810	P50_retina_OIR+AFLx3_rep2	P50_retina_OIR+AFLx3	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558810
304558811	GSM4558811	GSM4558811	P50_retina_OIR+AFLx3_rep3	P50_retina_OIR+AFLx3	Mus musculus			20258		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4558811
304629873	GSM4629873	GSM4629873	retinal microglia, OIR	Retina	Mus musculus			24247		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4629873
304810565	GSM4810565	GSM4810565	OIR_retina_P14_1	OIR P14 retina lysate	Mus musculus			18635		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4810565
304810566	GSM4810566	GSM4810566	OIR_retina_P14_2	OIR P14 retina lysate	Mus musculus			18635		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4810566
304810570	GSM4810570	GSM4810570	OIR_retina_P17_1	OIR P17 retina lysate	Mus musculus			18635		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4810570
304810571	GSM4810571	GSM4810571	OIR_retina_P17_2	OIR P17 retina lysate	Mus musculus			18635		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4810571
304810572	GSM4810572	GSM4810572	OIR_retina_P17_3	OIR P17 retina lysate	Mus musculus			18635		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4810572
304810576	GSM4810576	GSM4810576	OIR_retina_P30_1	OIR P30 retina lysate	Mus musculus			18635		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4810576
304810577	GSM4810577	GSM4810577	OIR_retina_P30_2	OIR P30 retina lysate	Mus musculus			18635		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4810577
304810578	GSM4810578	GSM4810578	OIR_retina_P30_3	OIR P30 retina lysate	Mus musculus			18635		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4810578
305293875	GSM5293875	GSM5293875	Enos KO retina rep 1	retina	Mus musculus			19057		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5293875
305293876	GSM5293876	GSM5293876	Enos KO retina rep 2	retina	Mus musculus			19057		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5293876
305293877	GSM5293877	GSM5293877	Enos KO retina rep 3	retina	Mus musculus			19057		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5293877
305293878	GSM5293878	GSM5293878	Enos WT retina rep 1	retina	Mus musculus			19057		GSM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5293878
