pmid	title	journal	pubdate	doi	pmc	pubmed_url	decision	screening_note
38505600	G protein subunit alpha i2's pivotal role in angiogenesis.	Theranostics	2024	10.7150/thno.92909	PMC10945342	https://pubmed.ncbi.nlm.nih.gov/38505600/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
38509306	RNA-binding proteins potentially regulate the alternative splicing of cell cycle-associated genes in proliferative diabetic retinopathy.	Scientific reports	2024 Mar 20	10.1038/s41598-024-57516-x	PMC10954754	https://pubmed.ncbi.nlm.nih.gov/38509306/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
38709389	IC100, a humanized therapeutic monoclonal anti-ASC antibody alleviates oxygen-induced retinopathy in mice.	Angiogenesis	2024 Aug	10.1007/s10456-024-09917-9	PMC11303442	https://pubmed.ncbi.nlm.nih.gov/38709389/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
38739977	Upregulation of HMOX1 associated with M2 macrophage infiltration and ferroptosis in proliferative diabetic retinopathy.	International immunopharmacology	2024 Jun 15	10.1016/j.intimp.2024.112231		https://pubmed.ncbi.nlm.nih.gov/38739977/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
38958972	Epithelial Membrane Protein 2 (EMP2) Blockade Attenuates Pathological Neovascularization in Murine Oxygen-Induced Retinopathy.	Investigative ophthalmology & visual science	2024 Jul 1	10.1167/iovs.65.8.10	PMC11223617	https://pubmed.ncbi.nlm.nih.gov/38958972/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
38978601	Timed topical dexamethasone eye drops improve mitochondrial function to prevent severe retinopathy of prematurity.	Research square	2024 Jun 25	10.21203/rs.3.rs-4619093/v1	PMC11230485	https://pubmed.ncbi.nlm.nih.gov/38978601/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39005408	Endothelial Zmiz1 modulates physiological and pathophysiological angiogenesis during retinal development.	bioRxiv : the preprint server for biology	2024 Jul 2	10.1101/2024.06.30.601426	PMC11244917	https://pubmed.ncbi.nlm.nih.gov/39005408/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39153705	The STAT1-SLC31A1 axis: Potential regulation of cuproptosis in diabetic retinopathy.	Gene	2024 Dec 20	10.1016/j.gene.2024.148861		https://pubmed.ncbi.nlm.nih.gov/39153705/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39287727	Timed topical dexamethasone eye drops improve mitochondrial function to prevent severe retinopathy of prematurity.	Angiogenesis	2024 Nov	10.1007/s10456-024-09948-2	PMC11564262	https://pubmed.ncbi.nlm.nih.gov/39287727/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39491782	Role of angiopoietin-like 4 in neovascularization associated with retinopathy of prematurity.	Experimental eye research	2024 Dec	10.1016/j.exer.2024.110145		https://pubmed.ncbi.nlm.nih.gov/39491782/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39506758	m6A-methylase METTL3 promotes retinal angiogenesis through modulation of metabolic reprogramming in RPE cells.	Journal of neuroinflammation	2024 Nov 6	10.1186/s12974-024-03279-1	PMC11539582	https://pubmed.ncbi.nlm.nih.gov/39506758/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39565875	Monoclonal antibodies that block Roundabout 1 and 2 signaling target pathological ocular neovascularization through myeloid cells.	Science translational medicine	2024 Nov 20	10.1126/scitranslmed.adn8388	PMC11822886	https://pubmed.ncbi.nlm.nih.gov/39565875/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
39789310	Systemic regulation of retinal medium-chain fatty acid oxidation repletes TCA cycle flux in oxygen-induced retinopathy.	Communications biology	2025 Jan 9	10.1038/s42003-024-07394-w	PMC11718186	https://pubmed.ncbi.nlm.nih.gov/39789310/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
39790557	Endothelial activating transcription factor 3 promotes angiogenesis and vascular repair in the mouse retina.	iScience	2025 Jan 17	10.1016/j.isci.2024.111516	PMC11714383	https://pubmed.ncbi.nlm.nih.gov/39790557/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39888634	Inhibition of Retinal Neovascularization by BEZ235: Targeting the Akt/4EBP1/Cyclin D1 Pathway in Endothelial Cells.	Investigative ophthalmology & visual science	2025 Jan 2	10.1167/iovs.66.1.66	PMC11784786	https://pubmed.ncbi.nlm.nih.gov/39888634/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39916601	The HAT Inhibitor ISOX-DUAL Diminishes Ischemic Areas in a Mouse Model of Oxygen-Induced Retinopathy.	Genes to cells : devoted to molecular & cellular mechanisms	2025 Mar	10.1111/gtc.13196	PMC11803434	https://pubmed.ncbi.nlm.nih.gov/39916601/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
39946136	Targeting Runx1 in Pathological Retinal Angiogenesis: A Potential Therapeutic Approach.	Investigative ophthalmology & visual science	2025 Feb 3	10.1167/iovs.66.2.40	PMC11827618	https://pubmed.ncbi.nlm.nih.gov/39946136/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40042877	Fibronectin Mediates Endothelial-to-Mesenchymal Transition in Retina Angiogenesis.	Investigative ophthalmology & visual science	2025 Mar 3	10.1167/iovs.66.3.10	PMC11892531	https://pubmed.ncbi.nlm.nih.gov/40042877/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
40069725	Single-cell analysis identifies MKI67(+) microglia as drivers of neovascularization in proliferative diabetic retinopathy.	Journal of translational medicine	2025 Mar 11	10.1186/s12967-025-06320-w	PMC11899098	https://pubmed.ncbi.nlm.nih.gov/40069725/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40083923	YBX1-driven TUBB6 upregulation facilitates ocular angiogenesis via WNT3A-FZD8 pathway.	Theranostics	2025	10.7150/thno.104573	PMC11898281	https://pubmed.ncbi.nlm.nih.gov/40083923/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40279967	Targeting mitochondrial DNA-STING-NF-κB Axis-mediated microglia activation by cryptotanshinone alleviates ischemic retinopathy.	Phytomedicine : international journal of phytotherapy and phytopharmacology	2025 Jul	10.1016/j.phymed.2025.156779		https://pubmed.ncbi.nlm.nih.gov/40279967/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40303324	BARD1-mediated stabilization of METTL14 promotes retinal neovascularization by m6A-modifying MXD1 mRNA on a YTHDF2-dependent manner.	Theranostics	2025	10.7150/thno.110122	PMC12036877	https://pubmed.ncbi.nlm.nih.gov/40303324/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40303351	Serine supplementation suppresses hypoxia-induced pathological retinal angiogenesis.	Theranostics	2025	10.7150/thno.105299	PMC12036884	https://pubmed.ncbi.nlm.nih.gov/40303351/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40305885	Ref-1 redox activity modulates canonical Wnt signaling in endothelial cells.	Redox biology	2025 Jun	10.1016/j.redox.2025.103646	PMC12433915	https://pubmed.ncbi.nlm.nih.gov/40305885/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40347925	Comprehensive multi-omics and pharmacokinetics reveal sclareol's role in inhibiting ocular neovascularization.	Phytomedicine : international journal of phytotherapy and phytopharmacology	2025 Jul 25	10.1016/j.phymed.2025.156817		https://pubmed.ncbi.nlm.nih.gov/40347925/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40350953	[Mechanism of action of ginsenoside Rg_2 on diabetic retinopathy and angiogenesis based on YAP/TLRs pathway].	Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica	2025 Mar	10.19540/j.cnki.cjcmm.20241216.302		https://pubmed.ncbi.nlm.nih.gov/40350953/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40668060	Inhibition of Endothelial HIF-1α by IDF-11774 Attenuates Retinal Neovascularization and Vascular Leakage.	Investigative ophthalmology & visual science	2025 Jul 1	10.1167/iovs.66.9.47	PMC12279074	https://pubmed.ncbi.nlm.nih.gov/40668060/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40748026	Bispecific Peptide Binds to VEGFR2 and Integrin αvβ3, Forming an Artificial Extracellular Matrix for Anti-Ocular Neoangiogenesis.	Small (Weinheim an der Bergstrasse, Germany)	2025 Sep	10.1002/smll.202409664		https://pubmed.ncbi.nlm.nih.gov/40748026/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40754099	Notch activation downregulates EZH2 to thereby attenuate endothelial cell proliferation and angiogenesis via MYC destabilization.	Life sciences	2025 Oct 15	10.1016/j.lfs.2025.123889		https://pubmed.ncbi.nlm.nih.gov/40754099/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40924459	Sorting nexin 3 promotes ischemic retinopathy through RIP1- and RIP3-mediated myeloid cell necroptosis and mitochondrial fission.	Proceedings of the National Academy of Sciences of the United States of America	2025 Sep 16	10.1073/pnas.2426578122	PMC12452880	https://pubmed.ncbi.nlm.nih.gov/40924459/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
40964715	Nrf2 Deficiency in Müller Cells Exacerbates Pathological Neovascularization in Ischemic Retinopathy.	Arteriosclerosis, thrombosis, and vascular biology	2025 Nov	10.1161/ATVBAHA.125.323301	PMC12574687	https://pubmed.ncbi.nlm.nih.gov/40964715/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
40976555	Epac1 deletion attenuates Müller glial pathological activation and mitigates retinal neurodegeneration in ischemia-induced retinopathy.	Journal of advanced research	2026 Jun	10.1016/j.jare.2025.09.031	PMC13227300	https://pubmed.ncbi.nlm.nih.gov/40976555/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
41041571	Polyunsaturated fatty acid balance modulates microglial state in a murine model of oxygen-induced neovascularization.	Research square	2025 Sep 23	10.21203/rs.3.rs-7491382/v1	PMC12486074	https://pubmed.ncbi.nlm.nih.gov/41041571/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41104017	Endothelial Zmiz1 modulates developmental angiogenesis in the retina.	Frontiers in cell and developmental biology	2025	10.3389/fcell.2025.1570587	PMC12521193	https://pubmed.ncbi.nlm.nih.gov/41104017/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41116209	Alamandine inhibits pathological retinal neovascularization by targeting the MrgD-mediated HIF-1α/VEGF pathway.	Journal of Zhejiang University. Science. B	2025 Oct 7	10.1631/jzus.B2500154	PMC12537649	https://pubmed.ncbi.nlm.nih.gov/41116209/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41120275	Proliferative diabetic retinopathy subtypes defined by immune defense and endothelial mitochondrial dysfunction.	Signal transduction and targeted therapy	2025 Oct 22	10.1038/s41392-025-02448-9	PMC12541085	https://pubmed.ncbi.nlm.nih.gov/41120275/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41230906	PRRX1 Orchestrates Pericyte-Myofibroblast Transition in Pathological Retinal Fibrosis.	Investigative ophthalmology & visual science	2025 Nov 3	10.1167/iovs.66.14.24	PMC12617673	https://pubmed.ncbi.nlm.nih.gov/41230906/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41232620	Microglial HMOX1 drives retinal angiogenesis via modulation of endothelial STAT3 signaling.	Free radical biology & medicine	2026 Feb 1	10.1016/j.freeradbiomed.2025.11.018		https://pubmed.ncbi.nlm.nih.gov/41232620/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41240786	N-acetylcysteine amide alleviates pathological neovascularization through mitochondrial protection and energy metabolism reprogramming of vascular endothelial cells.	Redox biology	2025 Dec	10.1016/j.redox.2025.103907	PMC12663691	https://pubmed.ncbi.nlm.nih.gov/41240786/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41328674	Copper Sulfide Nanoparticles Protect Against Fundus Neovascularization Diseases and Inhibit NF-κB Signaling Pathway.	Current eye research	2026 Feb	10.1080/02713683.2025.2576792		https://pubmed.ncbi.nlm.nih.gov/41328674/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41347875	Conformational Dynamics of PKM2 Regulate Hypoxia-Induced Pathological Retinal Angiogenesis.	Investigative ophthalmology & visual science	2025 Dec 1	10.1167/iovs.66.15.23	PMC12700175	https://pubmed.ncbi.nlm.nih.gov/41347875/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41455369	The NLRP3 inflammasome inhibitor OLT1177 attenuates retinal neovascularization and microglial inflammation with neuroprotective effects.	International immunopharmacology	2026 Feb 1	10.1016/j.intimp.2025.116066		https://pubmed.ncbi.nlm.nih.gov/41455369/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41534651	Non-neuronal cell microenvironment control retinal vascular remodeling by CST3 in the oxygen-induced retinopathy in mice.	Experimental eye research	2026 Mar	10.1016/j.exer.2026.110860		https://pubmed.ncbi.nlm.nih.gov/41534651/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41548765	Endothelial JMJD1C drives pathological ocular neovascularization by activating SREBF2-dependent cholesterol biosynthesis.	Free radical biology & medicine	2026 Mar 16	10.1016/j.freeradbiomed.2026.01.024		https://pubmed.ncbi.nlm.nih.gov/41548765/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41627954	Ythdf2 loss in microglia aggravates ischemic retinopathy by increasing microglia activation and microvascular anomalies.	Journal of advanced research	2026 Jul	10.1016/j.jare.2025.10.024	PMC13316591	https://pubmed.ncbi.nlm.nih.gov/41627954/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41663366	Extraocular delivery of bioswitchable tri-miR-22-loaded tetrahedral DNA nanostructures for intraocular neovascular and neurodegenerative repair.	Signal transduction and targeted therapy	2026 Feb 10	10.1038/s41392-025-02566-4	PMC12886861	https://pubmed.ncbi.nlm.nih.gov/41663366/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41679587	The hypoxia-mediated HIF-1α/miR-381-3p signaling pathway promotes retinal neovascularization.	Experimental eye research	2026 May	10.1016/j.exer.2026.110925		https://pubmed.ncbi.nlm.nih.gov/41679587/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41817688	Integrated intraocular-plasma proteomics reveals conserved biomarkers for diabetic retinopathy progression: a multi-fluid biopsy study.	Diabetologia	2026 Jul	10.1007/s00125-026-06708-3		https://pubmed.ncbi.nlm.nih.gov/41817688/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41829920	Polyunsaturated Fatty Acid Balance Modulates Microglial State in a Murine Model of Oxygen-Induced Neovascularization.	Nutrients	2026 Feb 26	10.3390/nu18050749	PMC12986573	https://pubmed.ncbi.nlm.nih.gov/41829920/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
41840419	Increased CD44 Expression in Endothelial Cells Induced by Advanced Glycation End Products Leads to Insufficient Maturation of Angiogenesis.	Journal of cellular and molecular medicine	2026 Mar	10.1111/jcmm.71088	PMC13097380	https://pubmed.ncbi.nlm.nih.gov/41840419/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41851718	Curcuma longa-derived extracellular vesicle-like particles ameliorate retinal neovascularization through HIF-1α and NRF2 signaling.	Journal of nanobiotechnology	2026 Mar 18	10.1186/s12951-026-04303-7	PMC13112881	https://pubmed.ncbi.nlm.nih.gov/41851718/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41860321	An APE1 Redox Inhibitor Attenuates Pathological Retinal Vascularization by Suppressing FGF2 Angiogenic Signaling.	Investigative ophthalmology & visual science	2026 Mar 2	10.1167/iovs.67.3.47	PMC13020076	https://pubmed.ncbi.nlm.nih.gov/41860321/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
41944819	Attenuation of Oxygen-Induced Neovascularization and Inflammation by Neutralizing VEGFA and/or ANG-2 With an Antibody.	Genes to cells : devoted to molecular & cellular mechanisms	2026 May	10.1111/gtc.70107	PMC13055877	https://pubmed.ncbi.nlm.nih.gov/41944819/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
41963275	SDF-1 Inhibition Attenuates VEGF-Driven Retinal Leukostasis and Neovascularization in Ischemic Retinopathy.	Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics	2026 Apr 10	10.1177/10807683261441054		https://pubmed.ncbi.nlm.nih.gov/41963275/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
42057040	Comprehensive multiomics analyses identify guanylate cyclase activator 1A as a photoreceptor-specific target in a murine model of oxygen-induced retinopathy.	Journal of translational medicine	2026 Apr 29	10.1186/s12967-026-08207-w	PMC13277265	https://pubmed.ncbi.nlm.nih.gov/42057040/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
42066435	Vitreous humor-mimetic liposomes enable effective gene delivery to the eye via intravitreal injection.	Biomaterials	2026 Nov	10.1016/j.biomaterials.2026.124226		https://pubmed.ncbi.nlm.nih.gov/42066435/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
42212336	Endothelial Klf9 fine-tunes Akt signaling to act as a transcriptional brake restraining retinal angiogenesis.	International journal of biological sciences	2026	10.7150/ijbs.133293	PMC13215252	https://pubmed.ncbi.nlm.nih.gov/42212336/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
42235340	Ndufa4l2 drives the pathological activation of Müller cells in ischemic retinopathy via the PI3K/AKT signaling pathway.	Pathology, research and practice	2026 May 30	10.1016/j.prp.2026.156567		https://pubmed.ncbi.nlm.nih.gov/42235340/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
42237060	Dopamine inhibits retinal pathological neovascularization in the oxygen-induced retinopathy mouse model.	The Journal of pathology	2026 Sep	10.1002/path.70080	PMC13432403	https://pubmed.ncbi.nlm.nih.gov/42237060/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
42272073	ScRNA-seq Data Reveal Gene Upregulation and Downregulation in Oxygen-Induced Retinopathy.	Medical science monitor : international medical journal of experimental and clinical research	2026 Jun 11	10.12659/MSM.951911	PMC13270882	https://pubmed.ncbi.nlm.nih.gov/42272073/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
42366514	Apolipoprotein C3 Promotes Retinal Angiogenesis via the MYC Pathway in Hypoxia.	Current eye research	2026 Jun 28	10.1080/02713683.2026.2691742		https://pubmed.ncbi.nlm.nih.gov/42366514/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
42555755	Disrupting galectin-3 and NET-mediated microglia-neutrophil cross-talk suppresses pathological retinal angiogenesis.	Science translational medicine	2026 Aug 5	10.1126/scitranslmed.aea5661		https://pubmed.ncbi.nlm.nih.gov/42555755/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
