accession	sample_id	title	organism	source_name	characteristics	treatment_protocol	growth_protocol	extract_protocol	description	data_processing
GSE292097	GSM8848856	Atf6KO_1	Mus musculus	Retina	tissue: Retina | genotype: Atf6 knockout | treatment: oxygen-induced retinopathy	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: Atf6KO-1	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848857	Atf6KO_2	Mus musculus	Retina	tissue: Retina | genotype: Atf6 knockout | treatment: oxygen-induced retinopathy	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: Atf6KO-2	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848858	Atf6KO_3	Mus musculus	Retina	tissue: Retina | genotype: Atf6 knockout | treatment: oxygen-induced retinopathy	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: Atf6KO-3	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848859	Atf6KO_4	Mus musculus	Retina	tissue: Retina | genotype: Atf6 knockout | treatment: oxygen-induced retinopathy	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: Atf6KO-4	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848860	Atf6KO_5	Mus musculus	Retina	tissue: Retina | genotype: Atf6 knockout | treatment: oxygen-induced retinopathy	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: Atf6KO-5	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848861	PBS_1	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: PBS	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: PBS-1	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848862	PBS_2	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: PBS	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: PBS-2	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848863	PBS_3	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: PBS	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: PBS-3	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848864	PBS_4	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: PBS	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: PBS-4	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848865	PBS_5	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: PBS	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: PBS-5	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848866	CeapinA7-1	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: Ceapin-A7	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: CA7_1	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848867	CeapinA7-2	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: Ceapin-A7	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: CA7_2	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848868	CeapinA7-3	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: Ceapin-A7	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: CA7_3	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848869	CeapinA7-4	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: Ceapin-A7	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: CA7_4	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE292097	GSM8848870	CeapinA7-5	Mus musculus	Retina	tissue: Retina | genotype: WT | treatment: Ceapin-A7	In oxygen-induced retinopathy, mouse pups of both sexes at postnatal day (P) 7 and their nursing mothers were placed in an environment with 75% oxygen (hyperoxia) for five consecutive days. They were then returned to room air at P12. Retinas were collected after 5 days in room air when neovascularization peaks (P17). In chemical injection, Ceapin-A7 (10 μM) was dissolved in sterile-filtered saline with 0.05-0.1% dimethyl sulfide, and saline with 0.05-0.1% dimethyl sulfide was used for PBS control. 1 μL of solution was administered to both eyes by intravitreal injection using 33-guage Hamilton syringe needle.		Cornea and lens were removed and retina was harvested using Rneasy miniplus kit (Quagen)/ >2ug of total RNA eas used for the construction of sequencing libarieis. | DNBSEQ Eukaryotic Strand-specific Transcriptome Resequencing preperation - Stranded mRNA library	Library name: CA7_5	Sequencing data was aligned to Mus_musculus_GCF_000001635.27_GRCm39 using the HISAT2 alignment program (v2.0.4) | Gene expression and normalized reads (in FPKM) were quantified using RSEM software (v1.2.18) | Differential expression analysis between control and drug-treated groups, along with the statistical significance, was determined using the DESeq2 package (v1.4.5) | Sequencing saturation-Perl script is used for sequencing saturation analysis. | Assembly: Integrative Genomics Viewer genome (IGV) browser to view the reads align to the genome | Supplementary files format and content: tab-delimited text file includes FPKM values for each sample | Supplementary files format and content: excel file includes FPKM values for each sample
GSE301407	GSM9082551	Normoxic group rep1	Mus musculus	retina	tissue: retina | group: Normoxic | batch: 2024-04-03			1. Experimental Procedures 1.1 Sample Lysis 1.1.1 Transfer appropriate tissue sample into corresponding tissue grinding tube (tissue≤30 mg, cell≤1×107). 1.1.2 Add 600 μL Buffer RLT Plus. Homogenize the lysate for using a rotor–stator homogenizer, stay at room temperature for 5 min. 1.1.3 Centrifuge at 12,000×g for 3 min in room temperature, transfer the supernatant to AllPrep DNA spin column. 1.1.4 Centrifuge 12,000×g for 30 s in room temperature, transfer the solution from the collection tube for the RNA purification. 1.1.5 Transfer the DNA spin column to the new collection tube for DNA purification. 1.2 DNA Purification 1.2.1 Add 500μL Buffer AW1 to AllPrep DNA spin column, centrifuge at 10,000×g for 30 s and discard the filtrate. 1.2.2 Add 500μL Buffer AW2 to AllPrep DNA spin column, centrifuge at 10,000×g for 30 s and discard the filtrate. 1.2.3 Centrifuge at 16,000×g for 2 min, transfer the AllPrep DNA spin column to 1.5mL centrifuge tube. 1.2.4 Add 50μL Buffer EB to AllPrep DNA spin column, stay at room temperature for 1 min. 1.2.5 Centrifuge at 16,000×g for 2 min and collect the DNA. 1.3 RNA Purification 1.3.1 Add the equal volume of 70% ethanol to the collection tube, mix by pipetting. 1.3.2 Transfer 700 μL mixed solution, to a RNeasy spin column placed in a 2 mL collection tube. 2.3.3 Centrifuge at 10,000×g for 30 s and allow it to empty by gravity flow. 1.3.4 Add 700 μL Buffer RW1 to RNeasy spin column. Centrifuge at 10,000×g for 30 s and discard the filtrate. 1.3.5 Add 500 μL Buffer RPE to RNeasy spin column. Centrifuge at 10,000×g for 30 s and discard the filtrate. 1.3.6 Add 500 μL Buffer RPE to RNeasy spin column. Centrifuge at 10,000×g for 30 s and discard the filtrate. 1.3.7 Centrifuge at 16,000×g for 2 min and transfer the RNeasy spin column to the 1.5 mL centrifuge tube. 1.3.8 Add 35 μL RNase-free water to RNeasy spin column. Stay at room temperature for 1min. 1.3.9 Centrifuge at 16,000×g for 2 min at room temperature to collect RNA. | After total RNA was extracted, mRNA was purified from total RNA (5ug) using Dynabeads Oligo (dT) with two rounds of purification. Following purification, the mRNA was fragmented into short fragments using divalent cations under elevated temperature (Magnesium RNA Fragmentation Module under 94℃ 5-7min). Then the cleaved RNA fragments were reverse-transcribed to create the cDNA by SuperScript™ II Reverse Transcriptase, which were next used to synthesise U-labeled second-stranded DNAs with E. coli DNA polymerase I, RNase H and dUTP Solution. An A-base was then added to the blunt ends of each strand, preparing them for ligation to the indexed adapters. Each adapter contained a T-base overhang for ligating the adapter to the A-tailed fragmented DNA. Dual-index adapters were ligated to the fragments, and size selection was performed with AMPureXP beads. After the heat-labile UDG enzyme treatment of the U-labeled second-stranded DNAs, the ligated products were amplified with PCR by the following conditions: initial denaturation at 95℃ for 3 min; 8 cycles of denaturation at 98℃ for 15 sec, annealing at 60℃ for 15 sec, and extension at 72℃ for 30 sec; and then final extension at 72℃ for 5 min. The average insert size for the final cDNA librarys were 300±50 bp. At last, we performed the 2×150bp paired-end sequencing (PE150) on an Illumina Novaseq™ 6000 (LC-Bio Technology CO., Ltd., Hangzhou, China) following the vendor's recommended protocol.	Library name: WT-1A	Data filtering The sequencing data was filtered with SOAPnuke  by (1) Removing reads containing sequencing adapter; (2) Removing reads whose low-quality base ratio (base quality less than or equal to 15) is more than 20%; (3) Removing reads whose unknown base ('N' base) ratio is more than 5%, afterwards clean reads were obtained and stored in FASTQ format. The subsequent analysis and data mining were performed on Dr. Tom Multi-omics Data mining system (https://biosys.bgi.com). | RNA identification Bowtie2 was applied to align the clean reads to the gene set, in which known and novel, coding and noncoding transcripts were included. | Gene Quantification Differential Expression Analysis Expression level of gene was calculated by RSEM (v1.3.1) . The heatmap was drawn by pheatmap (v1.0.8)  according to the gene expression difference in different samples. Essentially, differential expression analysis was performed using the DESeq2(v1.4.5)  (or DEGseq or PoissonDis)with Q value ≤ 0.05 (or FDR ≤ 0.001). | Gene Annotation To take insight to the change of phenotype, GO (http://www.geneontology.org/) and KEGG (https://www.kegg.jp/) enrichment analysis of annotated different expression gene was performed by Phyper based on Hypergeometric test. The significant levels of terms and pathways were corrected by Q value with a rigorous threshold (Q value ≤ 0.05) . | Assembly: GRCm39 | Supplementary files format and content: tab-delimited text files include genecount and FPKM values for each Sample
