accession	title	summary	overall_design	pubmed_id	relation	supplementary_file
GSE249919	Mechanism underlying long-term visual dysfunction in the mouse model of oxygen-induced retinopathy	To investigate the mechanism of long-term visual dysfunction in the mouse model of oxygen-induced retinopathy (OIR) by performing RNA sequencing (RNA-seq) . Then further verify the results in transcriptional, expression and function, to explore the methods to improve its electrophysiological function and provide new ideas for the treatment of retinopathy of prematurity (ROP). 7 days C57BL/6 mice  were placed in a closed hyperoxia chamber. After 5 days, they were raised in the ordinary air environment. On, the 17th day and 25th day, the eyes were removed.  The results of RNA-seq in the retina of the OIR mice at P17 showed that compared with the normal control group, 102 differentially expressed genes were identified, of which 95 were significantly up-regulated and 7 were significantly down-regulated. This study  provides a new idea of neuroprotection for the treatment of patients with mild premature retinopathy.	To investigate the mechanism of long-term visual dysfunction in the mouse model of oxygen-induced retinopathy by performing RNA sequencing (RNA-seq). 7 days C57BL/6 mice  were placed in a closed hyperoxia chamber. After 5 days, they were raised in the ordinary air environment. On, the 17th day, the eyes were removed for RNA-seq.		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1051126	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249919/suppl/GSE249919_gene_FPKM.txt.gz
GSE259255	BGN stimulates retinal pathological angiogenesis via up-regulation of CXCL12 expression in pericytes (mouse)	Retinal pathological angiogenesis (PA) is a common hallmark in proliferative retinopathies, including age-related macular degeneration (AMD), proliferative diabetic retinopathy (PDR), and retinopathy of prematurity (ROP). The mechanisms underlying PA is complex and incompletely understood. Using oxygen-induced retinopathy (OIR) mouse as a model, the role of extracellular matrix (ECM) protein biglycan (BGN) in PA was studied. Significant upregulation of BGN in the retina of OIR mice and in neovascular proliferative membranes of PDR patients was found. The reduction of BGN expression by Bgn-specific small interfering RNA (siRNA) effectively diminished retinal PA in OIR mouse. Subsequent analysis of the mouse OIR retinal single-cell RNA sequencing data from the Gene Expression Omnibus dataset (GSE150703) suggested pericyte as a source of BGN. This was verified using cultured retinal capillary pericytes. BGN expression in pericytes was highly sensitive to hypoxic stimulation. BGN stimulated retinal PA via the upregulation of C-X-C motif chemokine ligand 12 (CXCL12). Inhibition of the CXCL12-CXCR4 axis effectively diminished PA in OIR mouse. In conclusion, this study demonstrated the stimulatory role of BGN in retinal PA, identified the link between BGN and CXCL12 expression, and further highlighted the role of pericytes in retinal PA.	C57BL/6 mice were used to established the OIR model. P17 retinas from normoxia control mice and OIR mice were collected to investigated the gene expression changes related to pathological angiogenesis.		SubSeries of: GSE259256 | BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1080537	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259255/suppl/GSE259255_RAW.tar
GSE261490	A humanized therapeutic monoclonal anti-ASC antibody alleviates oxygen-induced retinopathy in mice	This study was to test the efficacy of a humanized monoclonal antibody, IC100 for ASC, an apoptosis-associated speck-like protein containing a caspase recruitment domain that is pivotal in inflammasome assembly, in the prevention and treatment of an oxygen-induced retinopathy (OIR) mouse model.	To assess the effects of IC100, newborn mice (C57BL/6) were randomized to the following groups: room air (RA) with placebo (PBS) (RA-PBS), 75% O2 with PBS (O2-PBS), O2 + IC100 intravitreal injection (O2-IC100-IVT), and O2 + IC100 intraperitoneal injection (O2-IC100-IP). The mice were grown in RA from P1 to P6, then in 75% O2 from P7 to P11, and then to RA from P12 to P18. IC100 was given via IVT at P12 and IP at P12, P14, and P16.		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1087306	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261490/suppl/GSE261490_counts.csv.gz
GSE262908	FOXC1 regulates endothelial CD98 (LAT1/4F2hc) expression in retinal angiogenesis and blood-retina barrier formation	Angiogenesis, the growth of new blood vessels from pre-existing vasculature, is essential for the development of new organ systems, but transcriptional control of angiogenesis remains incompletely understood. Here we report that FOXC1 is essential for retinal angiogenesis. Endothelial cell (EC)-specific loss of Foxc1 impairs retinal vascular growth and expression of Slc3a2 and Slc7a5, which encode the heterodimeric CD98 (LAT1/4F2hc) amino acid transporter and regulate the intracellular transport of essential amino acids and activation of the mammalian target of rapamycin (mTOR). EC-Foxc1 deficiency diminishes mTOR activity, while administration of the mTOR agonist MHY-1485 rescues perturbed retinal angiogenesis. EC-Foxc1 expression is required for retinal revascularization and resolution of neovascular tufts in a model of oxygen-induced retinopathy. Foxc1 is also indispensable for pericytes, a critical component of the blood-retina barrier during retinal angiogenesis. Our findings establish FOXC1 as a crucial regulator of retinal vessels and identify therapeutic targets for treating retinal vascular disease.	To investigate transcriptional regulation of retinal angiogenesis by transcription factor FOXC1, we administered tamoxifen to endothelial-specifc FOXC1 knockout (EC-Foxc1-KO) mice and littermate WT controls during early postnatal retinal angiogenesis. Retinal endothelial cells were isolated from pooled retinas of WT control or littermate EC-Foxc1-KO mice using CD31 pre-conjugated magnetic beads and processed for RNA extraction and transcriptomics analysis.	38755144	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1094884	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE262nnn/GSE262908/suppl/GSE262908_RAW.tar
GSE263978	mRNA expression profiles of oxygen-induced retinopathy (OIR) mouse retinas after knockdown treatment of lncRNA-MM2P	The purpose of this study is to investigate the mRNA expression profiles of OIR retinas after knockdown treatment of lncRNA-MM2P. We established an OIR model in C57BL/6J mice. The expression of lncRNA-MM2P in the retinas of OIR mice was knocked down by intravitreal injection of self-complementary adeno-associated virus (scAAV). Retinas of four eyes from two OIR mice were collected as one sample. The control group was treated with control scAAV and named as AAV_NC, the knockdown group was treated with knockdown scAAV and named as AAV_sh. The total RNA was extracted from total of eight samples (four samples each group) for RNA sequencing.	RNA sequencing of retinas from 17-day old oxygen-induced retinopathy (OIR) C57BL/6J mice which were knocked down of lncRNA-MM2P by scAAV or treated with control scAAV.		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1100496	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE263nnn/GSE263978/suppl/GSE263978_All_gene_tpm.txt.gz
GSE268420	Chronic intermittent hypoxia inhibits the revascularization of the ischemic retina and aggravates neurodegeneration and neovascularization	Neovascular retinopathies and edema are sign threatening complications of ischemic retinopathies, such as retinopathy of prematurity (ROP) and diabetic retinopathy (DR). Sleep apnea that leads to chronic intermittent hypoxia (CIH) is an independent risk factor for severe disease, but the underlying mechanisms are unknown. Here we show that experimental CIH during the ischemic phase of oxygen induced retinopathy in mice severely reduces beneficial revascularitzation of the ischemic retina, and increases neuronal loss and pathological neovascularization. Mechanistically we demonstrate that CIH reduces both colony stimulation factor 1 (CSF-1) expression and the ischemia-induced increase of retinal microglial cells that promotes the revascularization of the ischemic retina in the absence of CIH. Local CSF1R inhibition during ischemic retinopathy reduced the number of microglial cells, inhibited revascularization, and exacerbated pathological neovascularization, recapitulating several effects of CIH. Our findings provide a novel mechanism by which sleep apnea and CIH aggravate ischemic retinopathies, underscoring the importance of treating apnea in ROP and DR to help prevent sight threatening severe disease.	C57BL/6J mice at postnatal (PN) day 8 (PN8) were exposed, with their mothers, for 5 days to hyperoxic conditions (75% O2), inducing vaso-obliteration and subsequent capillary loss of the central retinal vasculature known as oxygen-induced retinopathy (OIR). At PN13, mice were returned to room-air conditions which induces extensive neovascularization in all experimental mice with maximum effects on PN18 (group named OIR-Norm), or were placed in chronic intermittend hypoxia (CIH) conditions (group named OIR-CIH). Control animals (OIR-Norm) were exposed to the same flow (and noise) of gasses, without affecting O2 concentrations. Fresh eyes (3 eyes from the OIR-Norm group, 3 eyes from the OIR-CIH group, all at PN18) were dissected on ice to isolate retinas immediately after enucleation. Retinal RNA was extracted and bulk RNA sequencing was performed. OIR-Norm samples are controls and OIR-CIH samples are the experimental condition.	40087728	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1117071	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268420/suppl/GSE268420_raw_counts.csv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268420/suppl/GSE268420_sample_file.csv.gz
GSE275394	Global Characterization of Functional Microglia Heterogeneity in Relation to Neovascularization and Regression Phases of Oxygen-Induced Retinopathy in Mice	Retinal neovascularization (RNV) is manifested in various retinal pathological conditions, often leading to irreversible blindness. Oxygen-induced Retinopathy (OIR) mouse model proves to be useful for understanding RNV. The OIR vasculatures exhibited two distinct phases: neovascularization and regression, with microglia playing a pivotal role. Most studies concern microglia functions in promoting RNV; however, global retinal microglia dynamics and functional molecular features during RNV formation and regression have yet to be illustrated. Here, we enriched retinal microglia from normoxia (NOX) and OIR mice retinas at different timepoints of RNV progression and regression and performed single-cell RNA sequencing (scRNA-seq).This approach enabled a detailed analysis of microglia dynamics and functional heterogeneity during retinal neovascularization and regression in OIR mice, providing novel mechanistic insights with potential therapeutic implications for retinal diseases involving pathological neovascularization.	Microglia from NOX and OIR mice retinas at P17 and P21 were isolated and enriched by CD11b magnetic-activated cell sorting (MACS) and analyzed using scRNA-seq.	41569006	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1150598	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE275nnn/GSE275394/suppl/GSE275394_RAW.tar
GSE279825	Monoclonal antibodies that block Roundabout 1 and 2 signaling target pathological ocular neovascularization through myeloid cells	Roundabout (ROBO) 1 and 2 are transmembrane receptors that bind secreted SLIT ligands through their extracellular domains (ECD), and signal through their cytoplasmic domains to modulate the cytoskeleton and regulate cell migration, adhesion, and proliferation. SLIT-ROBO signaling was discovered as a guidance cue for axons in the developing nervous system, but ROBO receptors are expressed by many additional cell types and more broadly regulate organ morphogenesis, as well as cancer and pathological ocular neovascularization.  As pharmacological tools to prevent  SLIT-ROBOR signaling are lacking, herein we developed human monoclonal antibodies (mAb ) against the ROBO1 and 2 ECD. One antibody that inhibited in vitro  SLIT2 signaling through ROBO1/2 reduced ocular neovascularization in two pathological models in vivo . Single cell RNA sequencing revealed that antibody treatment affected several cell types relevant to angiogenesis, including endothelial cells, pericytes, and a heterogeneous population of myeloid cells. mAb treatment improved Blood-Retina Barrier integrity and prevented pathological pericyte activation . SLIT-ROBO signaling inhibition prevented pathological activation of myeloid cells, which was phenocopied by both myeloid cell specific ablation of Robo1 and 2 and by knockout of the downstream effector  Pi3kγ . Anti-ROBO1/2 blocking antibodies may thus provide a new promising strategy to combat inflammation in blinding eye diseases.	Retinal cells dissected from P17 mouse pups following oxygen induced retinopathy (OIR) and treated with either Anti-Robo1/2 antibodies or IgG control antibodies. Endothelial and immune cells were isolated by CD31 and CD45 microbeads respectively. Enriched cell populations were subjected to single cell RNA-sequencing using the 10x platform.	39565875	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1174746	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE279nnn/GSE279825/suppl/GSE279825_RAW.tar | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE279nnn/GSE279825/suppl/GSE279825_features.tsv.gz
GSE281249	Deubiquitinase USP9X regulates Wnt-signaling to control CNS vascular formation and barrier maintenance	Deubiquitinating enzymes play crucial roles in various cellular activities, yet their involvement in central nervous system (CNS) vascularization and barrier function remains elusive. Canonical Wnt signaling is essential for proper CNS vascularization and barrier maintenance. Using a loss-of-function screening for Wnt signaling activity, we identified ubiquitin-specific peptidase 9 X-linked (USP9X) as a key regulator in brain endothelial cells (BECs). Endothelium-specific Usp9x knockout reduces Wnt-signaling activity, compromising CNS vascularization and barrier function during development. Activation of Wnt signaling rescues these defects. Mechanistically, we uncovered β-catenin as a direct substrate of USP9X, with USP9X catalyzing K48 polyubiquitin chains to stabilize β-catenin. In pathological models of impaired CNS vascular barrier function, including an intracerebral hemorrhage model and an oxygen-induced retinopathy model, loss of Usp9x intensifies barrier disruption, accentuating defects. This finding implicates USP9X as a critical regulator of CNS vascularization and barrier function through Wnt signaling, offering insights into CNS disease implications.	HCMECs were transfected with siRNA targeting control (siCtrl) or USP9X (siUSP9X) for 48 h, followed by Wnt3a stimulation for 12h. Total RNA was harvested for subsequent RNA-seq analysis.		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1182806	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281249/suppl/GSE281249_processed_data_file.txt.gz
GSE281854	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [liver RNA-Seq]	Activation of anaplerosis takes away glutamine from the biosynthetic pathway to the energy-producing TCA cycle. Especially, induction of hyperoxia driven anaplerosis in neurovascular tissues such as the retina during early stages of development could deplete biosynthetic precursors from newly proliferating endothelial cells impeding physiological angiogenesis and leading to vasoobliteration. Using an oxygen-induced retinopathy (OIR) mouse model, we investigated the metabolic differences between OIR-resistant BALB/cByJ and OIR susceptible C57BL/6J strains at system levels to understand the molecular underpinnings that potentially contribute to hyperoxia-induced vascular abnormalities in the neural retina. Our systems level in vivo RNA-seq, proteomic, and lipidomic profiling and ex-vivo explant studies show that the medium-chain fatty acids serves as an alternative source to feed the TCA cycle. Our findings strongly implicate that medium-chain fatty acids could suppress glutamine-fueled anaplerosis and ameliorate hyperoxia-induced vascular abnormalities in conditions such as retinopathy of prematurity.	12 days old OIR hyperoxia and normoxic mouse livers from OIR resistant and susecptible strains were compared to find out metabolic changes responsible to protect against OIR	39789310	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1186057	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281854/suppl/GSE281854_Liver.xlsx
GSE281855	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [retina_RNAseq]	Activation of anaplerosis takes away glutamine from the biosynthetic pathway to the energy-producing TCA cycle. Especially, induction of hyperoxia driven anaplerosis in neurovascular tissues such as the retina during early stages of development could deplete biosynthetic precursors from newly proliferating endothelial cells impeding physiological angiogenesis and leading to vasoobliteration. Using an oxygen-induced retinopathy (OIR) mouse model, we investigated the metabolic differences between OIR-resistant BALB/cByJ and OIR susceptible C57BL/6J strains at system levels to understand the molecular underpinnings that potentially contribute to hyperoxia-induced vascular abnormalities in the neural retina. Our systems level in vivo RNA-seq, proteomic, and lipidomic profiling and ex-vivo explant studies show that the medium-chain fatty acids serves as an alternative source to feed the TCA cycle. Our findings strongly implicate that medium-chain fatty acids could suppress glutamine-fueled anaplerosis and ameliorate hyperoxia-induced vascular abnormalities in conditions such as retinopathy of prematurity.	12 days old OIR hyperoxia and normoxic mouse retina from OIR resistant and susceptible strains were compared to find out metabolic changes responsible for protecting against OIR	39789310	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1186056	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281855/suppl/GSE281855_Retina.xlsx
GSE283276	Single-Cell Multiomics Profiling Reveals Heterogeneity of Müller Cells in the Oxygen-Induced Retinopathy Model	Retinal neovascularization poses heightened risks of vision loss and blindness. Despite its clinical significance, the molecular mechanisms underlying the pathogenesis of retinal neovascularization remain elusive. This study utilized single-cell multiomics profiling in an oxygen-induced retinopathy (OIR) model to comprehensively investigate the intricate molecular landscape of retinal neovascularization.	Multiome-seq: Single nuclei were extracted from retinas from postnatal day 17 (P17) mice under the OIR model.Joint snRNA- and scATAC libraries were prepared using the 10x Genomics platform.	39504047	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1193014	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE283nnn/GSE283276/suppl/GSE283276_RAW.tar
GSE288833	Deletion of endothelial glycocalyx component endomucin impairs retinal vascularization and suppresses pathological neovascularization	Endomucin (EMCN), an endothelial-selective glycocalyx component highly expressed in capillaries and venous endothelium, plays a critical role in regulating vascular endothelial growth factor receptor 2 (VEGFR2) endocytosis and downstream of VEGF signaling. Using a global EMCN knockout mouse model, we investigated the effects of EMCN deficiency on retinal vascularization during development and pathological angiogenesis. While Emcn-/- mice showed no significant difference in the avascular area in an oxygen-induced retinopathy (OIR) model, there was a significant reduction in neovascular tufts at postnatal day 17. RNA seq of the OIR retinas with gene ontology enrichment analysis indicate response to hypoxia and angiogenesis pathways were differentially regulated in Emcn-/- mice in OIR.	RNA-seq profiling of retinas from postnantal day 15 pups from oxygen-induced retinopathy model for Emcn+/+ and Emcn-/- littermates.		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1219573	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288833/suppl/GSE288833_All_counts.csv.gz
GSE289223	Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis	Purpose: To investigate the role of endothelial-mesenchymal transition (EndoMT) in pathological retinal angiogenesis and identify key molecular mediators in retina angiogenesis. Methods: RNA sequencing was performed on retinal tissue from oxygen-induced retinopathy (OIR) mouse model to analyze gene expression patterns. Gene Set Enrichment Analysis was used to examine the correlation between EMT and angiogenesis gene sets. Fibronectin (FN1) expression was evaluated in endothelial cells, and its function was assessed through siRNA mediated knockdown in both in vitro angiogenesis assays and the OIR model. Results: EndoMT occurred early in retinal angiogenesis development, with significant correlation between EMT and angiogenesis gene sets. FN1 was identified as the most significantly upregulated EMT-related gene in endothelial cells. siRNA-mediated inhibition of FN1 effectively prevented VEGF-induced angiogenesis in vitro and reduced pathological angiogenesis in the OIR model. Conclusions: EndoMT is a crucial early event in pathological retinal angiogenesis, with FN1 serving as a key mediator. Targeting FN1 may provide a novel therapeutic strategy that could synergize with anti-VEGF treatments to more effectively treat pathological angiogenesis in DR and ROP, particularly in cases of poor response to anti-VEGF therapy alone.	RNA-seq techniques to delve into the alterations in transcription and pinpoint a target associated with hypoxia-triggered retinal angiogenesis at P17 of wildtype C57BL/6J mice and OIR mice	40042877	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1221932	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE289nnn/GSE289223/suppl/GSE289223_gene_count.txt.gz
GSE292097	Targeting ATF6 Reduces Pathological Neovascularization and Improves Visual Outcomes in Retinal Disease Models	Pathological retinal neovascularization is a common mechanism for leading causes of vision loss including retinopathy of prematurity (ROP), diabetic retinopathy, and wet age-related macular degeneration. The Unfolded Protein Response (UPR) is an intracellular signal transduction mechanism controlled by the ER-resident proteins ATF6, IRE1, and PERK.  In response to endoplasmic reticulum stress, UPR activates downstream transcriptional and translational programs that upregulate many proteins, including key angiogenesis factors like VEGF and HIF1a.  This suggests an important role for UPR in developmental and pathologic retinal angiogenesis, but it is unclear which UPR regulatory genes are most important in these processes.  Here, we focused on the role of Activating Transcription Factor 6 (ATF6) in pathologic and developmental retinal angiogenesis. We induced pathologic retinal neovascularization in Atf6-/- mice using the oxygen-induced retinopathy (OIR) model of ROP and examined functional, histologic, and molecular consequences in the retina. we found significantly preserved visual function, accompanied by decreased retinal neovascularization, endothelial cell proliferation, and UPR and angiogenesis transcriptional programs in Atf6-/- mice after OIR. When we chemically blocked ATF6 signaling by intraocular injection of the small molecule Ceapin-A7, we also saw suppression of UPR and angiogenesis gene expression. Last, we examined very young Atf6-/- mice when the inner retinal vasculature is developing and found a significant defect in pruning and blood vessel extension to the periphery at P7, but this delay was transient and Atf6-/- blood vessels fully recovered at older ages of development. Together, our results demonstrate ATF6’s critical role in developmental and pathological angiogenesis and highlight its potential as a therapeutic target to mitigate pathological retinal neovascularization.	RNA-seq profiling of Atf6-/- mouse retinas (C57BL/6J background) subjected to oxygen-induced retinopathy model of Retinopathy of Prematurity and wildtype mouse retinas subjected to intraocular injection of Atf6 inhibitor Ceapin-A7	41006433	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1236858	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292097/suppl/GSE292097_OIR_RNA-seq_Atf6-fpkm.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292097/suppl/GSE292097_OIR_RNA-seq_WT-fpkm.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292097/suppl/GSE292097_RNA-seq_CA7-fpkm.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292097/suppl/GSE292097_RNA-seq_PBS-fpkm.txt.gz
GSE301407	Injectable Multifunctional Hydrogel with Sustained Release of procyanidin C1 for Selective Senolysis to Remodel Ocular Fundus Neovascularization	The abnormal vascular growth in ocular fundus neovascularization is driven by senescent cells that evade apoptosis. These cells trigger chronic inflammation by overproducing senescence-associated secretory phenotype (SASP) factors. To address this, we developed PCC1/PHCF-Gel, a novel dual-mode hydrogel platform for long-term procyanidin C1 (PCC1) release. Its high-dose localized delivery targets p16INK4a+ senescent cells for ablation (senolysis), while low-dose sustained release inhibits SASP-mediated inflammation. To investigate the alterations in senescent features of oxygen-induced retinopathy (OIR) when treated with PCC1/PHCF-Gel, we carried out bulk RNA sequencing. Subsequently, utilizing senescence-related gene sets, namely SASP_Literature Curated UP, Fridman_Senescence_UP, and Global_Senescence_2020, we conducted a Set Gene Enrichment Analysis (GSEA). The analysis results served to reconfirm the accumulation of senescence in the OIR model. However, in the case of the PCC1/PHCF-Gel group, a significant negative correlation with senescence-related genes was observed.	At postnatal day 17 (P17), bulk RNA-seq was performed on the retinas of normoxic mice and OIR mice that had received intravitreal injections of PBS and PCC1/PHCF hydrogel at P15 to conduct a systemic transcriptomic characterization.			ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE301nnn/GSE301407/suppl/GSE301407_FPKM.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE301nnn/GSE301407/suppl/GSE301407_genecount.txt.gz
GSE304959	RiboTag-based profiling of actively translating transcripts in Nrf2-deficient and wildtype Müller cells in a mouse model of oxygen-induced retinopathy	Müller cells play a critical role in retinal angiogenesis and inflammation, particularly in ischemic retinopathies such as oxygen-induced retinopathy (OIR).  Here, we employed actively translating transcriptome profiling using RiboTag technology to selectively examine gene expression in Müller cells with and without Nrf2, a master regulator of oxidative stress responses, during OIR. Conditional deletion of Nrf2 in Müller cells exacerbated retinal avascular areas and pathological neovascularization in the OIR model, without altering Müller cell number or viability. RiboTag-based RNA sequencing and pathway analysis identified dysregulation of oxidative phosphorylation and acute phase signaling, along with suppression of pathways related to neuronal signaling. Müller cell Nrf2 deficiency resulted in dysregulation of multiple genes involved in acute-phase response, inflammation, and angiogenesis. These findings uncover a critical role for Nrf2 in maintaining Müller cell homeostasis and identify molecular signatures by which its loss amplifies retinal gliosis and pathological angiogenesis.	RNA-seq profiling of wildtype and Muller cell-specific Nrf2 cKO at OIR P14	40964715	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1303595	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE304nnn/GSE304959/suppl/GSE304959_FPKM_allSamples.csv.gz
GSE315511	Attenuation of oxygen-induced neovascularization and inflammation by neutralizing antibody to VEGFA and/or ANG-2	Neovascularization is a major cause of blindness in various retinal diseases, and inflammation aggravates the pathological and clinical conditions of these diseases. VEGFA or ANG-2 neutralizing antibodies have been used to block pathological neovascularization. In this work, the effects of intraocular administration of neutralizing antibodies against VEGFA, ANG-2, or bispecific to these two factors on pathological findings were examined in the oxygen-induced retinopathy (OIR) mouse model. At both postnatal day (P)17 and P19, anti-VEGFA and -ANG-2 administration suppressed neovascularization, and the bispecific antibody attenuated neovascularization more efficiently. However, oxygen-induced vaso-obliteration was not modified by these antibodies. Numbers of photoreceptor, amacrine, and bipolar cells were reduced in the OIR retina, and the antibodies reversed these changes. Microglia-specific gene expression increased in the OIR retina, and administration of the antibodies reduced the IBA1-positive area in the OIR retina, although these antibodies did not affect marker gene expression. Labeled VEGFA and ANG-2 were found to be co-localized with microglia, suggesting that VEGFA and ANG-2 affect microglia activation directly. Taken together, neutralizing antibody to VEGFA or ANG-2 attenuated oxygen-induced neovascularization and inflammation, and the bispecific antibody more efficiently suppressed some features than the single antibody to VEGFA or ANG-2.	RNA-seq profiling of retina from C57BL/6J mice at P17 and P19 which were exposed to 75% O2 from P7 to P12, returned to room air, and intravitreally injected 1 µl of control IgG (0.4 µg/µl), anti-VEGFA (B20.4.1., 0.2 µg/µl), ANG-2 (LC10, 0.2 µg/µl), or VEGFA/ANG-2 bispecific antibody (B20.4.1_LC10, 0.4 µg/µl) at P14.	41944819	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1398191	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315511/suppl/GSE315511_PR4506_rsem_GENE.csv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315511/suppl/GSE315511_PR4506_rsem_TPM.csv.gz
GSE328096	Single-cell RNA sequencing reveals that Epac1 deletion attenuates Müller glial pathological activation in ischemia-induced retinopathy	Here we report the single-cell RNA sequencing (scRNA-seq) analysis of retinas from WT and Epac1-knockout mice under Oxygen-Induced Retinopathy (OIR) and Room Air (RA) conditions. The OIR model was induced by exposing pups to 70% oxygen from postnatal day 7 (P7) to P12. This study aims to delineate the cellular heterogeneity and investigate the neuroprotective mechanisms associated with Epac1 deletion, with a specific focus on Müller glial pathological activation and retinal neurodegeneration. Retinal tissues were collected at postnatal day 17 (P17) to establish a comprehensive transcriptomic profile of the ischemia-induced retinopathy model.	Retinal samples were harvested from WT and Epac1-knockout neonatal mice. The ischemia-induced retinopathy model was established using Oxygen-Induced Retinopathy (OIR) conditions (70% oxygen exposure from P7 to P12), with age-matched mice raised in standard Room Air (RA) serving as controls. Single-cell suspensions were prepared from retinas collected at P17. Libraries were constructed using the 10x Genomics Chromium platform and sequenced to assess transcriptomic dynamics and Müller glial responses.	40976555	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1453907	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE328nnn/GSE328096/suppl/GSE328096_RAW.tar
GSE38762	Gene Expression Profiling In Murine Retina Neovascularization Models	In order to find out the vital genes during retinal neovascularization (RNV), we set up OIR (oxygen-induced retinopathy; induced with 75%±2% oxygen) and wild-type C57BL/6J murine models. We observed the retinal vascular growth process daily both in OIR and wild-type mice through retinal flat-mount, and isolated total retinal RNA at different time points (P8, P9, P12, P13, P30) both in OIR and wild-type mice for gene expression analysis.	At least three different retinae were accessed at each time point for observing the retinal vascular growth process. Ten neural retinae from five mice were harvested and pooled into one sample for gene expression analysis. Three biological replicates were used for each time point. Dye-swaps were performed.	23592914	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA168565	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38762/suppl/GSE38762_RAW.tar
